SalePrice,Overall Qual,Gr Liv Area,Garage Cars,Garage Area,Year Built,1st Flr SF,Exter Qual_TA,Year Remod/Add,Full Bath,Foundation_PConc,Garage Yr Blt,Kitchen Qual_TA,Fireplace Qu_Sin categoria,Exter Qual_Gd
12.278397958261774,6,7.412764017426562,2.0,528.0,1960,7.412764017426562,1.0,1960,1,0.0,1960.0,1.0,0.0,0.0
11.561725152903833,5,6.799055862058796,1.0,730.0,1961,6.799055862058796,1.0,1961,1,0.0,1961.0,1.0,1.0,0.0
12.055255569732177,6,7.1929342212158,1.0,312.0,1958,7.1929342212158,1.0,1958,1,0.0,1958.0,0.0,1.0,0.0
12.404927602627597,7,7.65491704784832,2.0,522.0,1968,7.65491704784832,0.0,1968,2,0.0,1968.0,0.0,0.0,1.0
12.15425816271595,5,7.396335293800808,2.0,482.0,1997,6.834108738813838,1.0,1998,2,1.0,1997.0,1.0,0.0,0.0
12.18332077348399,6,7.380879035564116,2.0,470.0,1998,6.831953565565855,1.0,1998,2,1.0,1998.0,0.0,0.0,0.0
12.271396795480596,8,7.199678345691172,2.0,582.0,2001,7.199678345691172,0.0,2001,2,1.0,2001.0,0.0,1.0,1.0
12.162648309521318,8,7.155396301896734,2.0,506.0,1992,7.155396301896734,0.0,1992,2,1.0,1992.0,0.0,1.0,1.0
12.373707715234994,8,7.388327859577107,2.0,608.0,1995,7.388327859577107,0.0,1996,2,1.0,1995.0,0.0,0.0,1.0
12.149507585033072,7,7.498315870766981,2.0,442.0,1999,6.9363427358340495,1.0,1999,2,1.0,1999.0,0.0,0.0,0.0
12.077676615757811,6,7.412160334945205,2.0,440.0,1993,6.638567789166521,1.0,1994,2,1.0,1993.0,1.0,0.0,0.0
12.128116509451258,6,7.080026499922591,2.0,420.0,1992,7.080026499922591,1.0,2007,2,1.0,1992.0,1.0,1.0,0.0
12.102937429832547,6,7.290292882446597,2.0,393.0,1998,6.672032945461067,1.0,1998,2,1.0,1998.0,1.0,0.0,0.0
12.052344376474922,7,7.201916317531627,2.0,506.0,1990,7.201916317531627,1.0,1990,1,1.0,1990.0,0.0,0.0,0.0
12.264346270624156,8,7.315218389752975,2.0,528.0,1985,7.315218389752975,0.0,1985,1,1.0,1985.0,0.0,1.0,1.0
12.00762780434872,8,7.469083884921234,2.0,492.0,1988,6.985641817639208,0.0,2005,2,0.0,1988.0,1.0,1.0,1.0
12.885204569609956,9,7.526717561352706,3.0,834.0,2010,7.526717561352706,0.0,2010,1,1.0,2010.0,0.0,0.0,1.0
11.856522261533735,4,6.762729506931879,2.0,400.0,1951,6.762729506931879,1.0,1951,1,0.0,1951.0,1.0,1.0,0.0
12.25486757159303,6,7.637234388789473,2.0,500.0,1978,7.637234388789473,1.0,1988,2,0.0,1978.0,1.0,0.0,0.0
12.154784614286667,6,7.520234556474628,2.0,546.0,1977,7.520234556474628,1.0,1977,2,0.0,1977.0,1.0,0.0,0.0
12.04355959836804,7,7.068172000388042,2.0,528.0,1974,7.068172000388042,1.0,1974,2,0.0,1974.0,0.0,0.0,0.0
12.283038316285214,7,7.423568444259167,2.0,663.0,2000,6.703188113240863,0.0,2000,2,1.0,2000.0,0.0,1.0,1.0
11.91170829631447,6,6.912742820493176,2.0,480.0,1970,6.912742820493176,1.0,1970,1,0.0,1970.0,1.0,0.0,0.0
11.917730355182512,5,6.983789965258135,2.0,500.0,1971,6.983789965258135,1.0,2008,1,0.0,1971.0,1.0,0.0,0.0
11.863589378812122,5,6.963189985870238,1.0,304.0,1968,6.963189985870238,1.0,1968,1,0.0,1968.0,1.0,0.0,0.0
11.744045122410055,4,6.78332520060396,2.0,525.0,1970,6.78332520060396,1.0,1970,1,0.0,1970.0,1.0,1.0,0.0
11.652696102959752,4,6.762729506931879,0.0,0.0,1971,6.762729506931879,1.0,1971,1,0.0,1979.0,1.0,0.0,0.0
12.122696471358964,7,7.198931240688173,2.0,511.0,1999,7.198931240688173,0.0,1999,2,1.0,1999.0,0.0,0.0,1.0
11.472113887062386,6,6.895682697747868,1.0,264.0,1971,6.182084906716632,1.0,1971,1,0.0,1971.0,1.0,1.0,0.0
11.56647571052632,5,6.996681488176539,1.0,320.0,1971,6.26530121273771,1.0,1971,1,0.0,1997.0,1.0,1.0,0.0
11.38510345703214,6,6.996681488176539,1.0,264.0,1971,6.26530121273771,1.0,1971,1,0.0,1971.0,1.0,1.0,0.0
11.755879486687116,6,6.975413927455952,2.0,440.0,1977,6.975413927455952,1.0,1977,2,0.0,1977.0,1.0,0.0,0.0
11.917730355182512,6,7.284134806195205,2.0,440.0,1975,6.752270376141742,1.0,1975,2,0.0,1975.0,0.0,0.0,0.0
